Name,District,City,Facility Type,Description,Phone Number,Image URL,Opening Hours,Website,Capacity,Is Accessible,Latitude,Longitude
Derran Johnathan Library Branch,West,Greenfield,Recreation Centre,"Offers health screenings with free parking and youth programs year-round. Known for a welcoming lobby, arts workshops, and extended evening hours.",+1 555-5892,http://zava.example/assets/facilities/derran-johnathan-library-branch.jpg,"Mon-Fri 7:30-15:30, open weekends 10:00-14:00",http://zava.example/facilities/derran-johnathan-library-branch,486,No,43.707644,-79.353073
J. Nathan Community Hub,Central,Bayview,Recreation Centre,"Offers recreation leagues with open weekends and arts workshops year-round. Known for a maker space, senior wellness, and easy transit access.",+1 555-9751,http://zava.example/assets/facilities/j-nathan-community-hub.jpg,"Mon-Fri 9:00-17:00, Sat 10:00-14:00",http://zava.example/facilities/j-nathan-community-hub,251,Yes,43.616789,-79.414277
Jona Than Community Centre,Central,Riverton,Community Hub,"Offers community counseling with emergency services and arts workshops year-round. Known for family-friendly seating, open weekends, and free parking.",+1 555-9837,http://zava.example/assets/facilities/jona-than-community-centre.jpg,"Mon-Fri 9:00-17:00, Sat 10:00-14:00",http://zava.example/facilities/jona-than-community-centre,229,Yes,43.730029,-79.343753
The Daren Darrell Community Hub,East,Greenfield,Civic Office,"Offers recreation leagues with open weekends and youth programs year-round. Known for private consultation rooms, senior wellness, and extended evening hours.",+1 555-3749,http://zava.example/assets/facilities/the-daren-darrell-community-hub.jpg,"Mon-Thu 8:30-16:30, Fri 8:30-15:00",http://zava.example/facilities/the-daren-darrell-community-hub,448,Yes,43.792944,-79.47838
Darrell Family Hub,Central,Greenfield,Access Point,"Offers computer labs with youth programs and emergency services year-round. Known for accessible entrances, senior wellness, and easy transit access.",+1 555-8018,http://zava.example/assets/facilities/darrell-family-hub.jpg,Daily 9:00-17:00,http://zava.example/facilities/darrell-family-hub,85,No,43.60253,-79.415988
Jon Nathen Jonathon Wellness Pavilion,East,Hillcrest,Civic Office,"Offers recreation leagues with free parking and open weekends year-round. Known for bike racks, arts workshops, and easy transit access.",+1 555-5397,http://zava.example/assets/facilities/jon-nathen-jonathon-wellness-pavilion.jpg,Daily 9:00-17:00,http://zava.example/facilities/jon-nathen-jonathon-wellness-pavilion,486,Yes,43.766146,-79.482667
Darryl-Ann Resource Centre,Central,Riverton,Access Point,"Offers after-school tutoring with emergency services and senior wellness year-round. Known for accessible entrances, arts workshops, and extended evening hours.",+1 555-6576,http://zava.example/assets/facilities/darryl-ann-resource-centre.jpg,"Mon-Wed 9:00-19:00, Thu-Fri 9:00-17:00, Sat 9:00-13:00",http://zava.example/facilities/darryl-ann-resource-centre,500,No,43.711158,-79.396675
Darril Jonny Library Branch,Downtown,Crestwood,Library Branch,"Offers language classes with arts workshops and youth programs year-round. Known for a staffed information desk, free parking, and on-site volunteers.",+1 555-4986,http://zava.example/assets/facilities/darril-jonny-library-branch.jpg,"Mon-Wed 9:00-19:00, Thu-Fri 9:00-17:00, Sat 9:00-13:00",http://zava.example/facilities/darril-jonny-library-branch,389,No,43.694652,-79.393816
Johnathan Service Desk,North,Birchwood,Community Hub,"Offers food pantry referrals with youth programs and senior wellness year-round. Known for a small café, emergency services, and open weekends.",+1 555-4138,http://zava.example/assets/facilities/johnathan-service-desk.jpg,"Tue-Sat 9:00-17:00, closed Sun-Mon",http://zava.example/facilities/johnathan-service-desk,428,No,43.6553,-79.382083
Jonny Nathan Recreation Centre,North,Greenfield,Community Hub,"Offers fitness classes with emergency services and youth programs year-round. Known for a welcoming lobby, free parking, and free parking.",+1 555-5786,http://zava.example/assets/facilities/jonny-nathan-recreation-centre.jpg,"Mon-Fri 10:00-18:00, Sun 11:00-15:00",http://zava.example/facilities/jonny-nathan-recreation-centre,376,No,43.620518,-79.497547
Darelly Neighbourhood Hall,North,Crestwood,Access Point,"Offers community counseling with arts workshops and open weekends year-round. Known for a maker space, youth programs, and open weekends.",+1 555-5978,http://zava.example/assets/facilities/darelly-neighbourhood-hall.jpg,"Mon-Thu 8:30-16:30, Fri 8:30-15:00",http://zava.example/facilities/darelly-neighbourhood-hall,177,Yes,43.711615,-79.416765
Jonnathon Community Hub,Central,Birchwood,Senior Centre,"Offers computer labs with emergency services and free parking year-round. Known for a staffed information desk, youth programs, and open weekends.",+1 555-5335,http://zava.example/assets/facilities/jonnathon-community-hub.jpg,"Mon-Thu 8:30-16:30, Fri 8:30-15:00",http://zava.example/facilities/jonnathon-community-hub,130,Yes,43.634763,-79.484987
Darrell Learning Annex,East,Birchwood,Library Branch,"Offers local history archive with open weekends and arts workshops year-round. Known for private consultation rooms, youth programs, and easy transit access.",+1 555-4241,http://zava.example/assets/facilities/darrell-learning-annex.jpg,"Mon-Fri 7:30-15:30, open weekends 10:00-14:00",http://zava.example/facilities/darrell-learning-annex,108,Yes,43.729527,-79.318318
D. Arrell Daryl Civic Office,South,Birchwood,Recreation Centre,"Offers quiet study zones with arts workshops and emergency services year-round. Known for a small café, free parking, and easy transit access.",+1 555-9090,http://zava.example/assets/facilities/d-arrell-daryl-civic-office.jpg,"Mon-Fri 9:00-20:00, Sat-Sun 10:00-16:00",http://zava.example/facilities/d-arrell-daryl-civic-office,91,Yes,43.777885,-79.353093
Jonnathon Access Point,South,Silverlake,Access Point,"Offers health screenings with free parking and youth programs year-round. Known for a small café, senior wellness, and on-site volunteers.",+1 555-5557,http://zava.example/assets/facilities/jonnathon-access-point.jpg,"Mon-Fri 10:00-18:00, Sun 11:00-15:00",http://zava.example/facilities/jonnathon-access-point,349,No,43.726957,-79.401655
Darryl Library Branch,East,Riverton,Recreation Centre,"Offers recreation leagues with emergency services and arts workshops year-round. Known for a multi-purpose gym, youth programs, and extended evening hours.",+1 555-5135,http://zava.example/assets/facilities/darryl-library-branch.jpg,Daily 9:00-17:00,http://zava.example/facilities/darryl-library-branch,109,No,43.772982,-79.335015
The Darrell Service Desk,South,Riverton,Senior Centre,"Offers after-school tutoring with open weekends and arts workshops year-round. Known for private consultation rooms, youth programs, and easy transit access.",+1 555-3146,http://zava.example/assets/facilities/the-darrell-service-desk.jpg,"Mon-Wed 9:00-19:00, Thu-Fri 9:00-17:00, Sat 9:00-13:00",http://zava.example/facilities/the-darrell-service-desk,274,No,43.624285,-79.305371
Jonnathon Learning Annex,South,Hillcrest,Access Point,"Offers computer labs with youth programs and arts workshops year-round. Known for family-friendly seating, emergency services, and extended evening hours.",+1 555-9337,http://zava.example/assets/facilities/jonnathon-learning-annex.jpg,"Mon-Wed 9:00-19:00, Thu-Fri 9:00-17:00, Sat 9:00-13:00",http://zava.example/facilities/jonnathon-learning-annex,262,No,43.796049,-79.451254
Jona-than Darril Public Counter,East,Elmwood,Community Hub,"Offers drop-in support with emergency services and free parking year-round. Known for private consultation rooms, open weekends, and extended evening hours.",+1 555-9022,http://zava.example/assets/facilities/jona-than-darril-public-counter.jpg,"Mon-Fri 10:00-18:00, Sun 11:00-15:00",http://zava.example/facilities/jona-than-darril-public-counter,278,No,43.669025,-79.389617
Jona-than Public Counter,Downtown,Greenfield,Senior Centre,"Offers food pantry referrals with senior wellness and arts workshops year-round. Known for family-friendly seating, youth programs, and on-site volunteers.",+1 555-7325,http://zava.example/assets/facilities/jona-than-public-counter.jpg,"Mon-Fri 10:00-18:00, Sun 11:00-15:00",http://zava.example/facilities/jona-than-public-counter,303,Yes,43.625249,-79.306929
The Jonathan Sports Complex,Central,Bayview,Library Branch,"Offers community counseling with arts workshops and senior wellness year-round. Known for private consultation rooms, open weekends, and extended evening hours.",+1 555-7512,http://zava.example/assets/facilities/the-jonathan-sports-complex.jpg,"Mon-Thu 8:30-16:30, Fri 8:30-15:00",http://zava.example/facilities/the-jonathan-sports-complex,486,No,43.770468,-79.328132
Jonatan Wellness Pavilion,South,Bayview,Senior Centre,"Offers local history archive with senior wellness and emergency services year-round. Known for bike racks, youth programs, and free parking.",+1 555-2646,http://zava.example/assets/facilities/jonatan-wellness-pavilion.jpg,"Mon-Fri 9:00-20:00, Sat-Sun 10:00-16:00",http://zava.example/facilities/jonatan-wellness-pavilion,135,No,43.780685,-79.490802
J. Nathan Jonathon Senior Centre,Central,Silverlake,Library Branch,"Offers community counseling with senior wellness and open weekends year-round. Known for a large auditorium, free parking, and open weekends.",+1 555-9153,http://zava.example/assets/facilities/j-nathan-jonathon-senior-centre.jpg,"Mon-Fri 10:00-18:00, Sun 11:00-15:00",http://zava.example/facilities/j-nathan-jonathon-senior-centre,168,No,43.727581,-79.408086
Darron D. Neighbourhood Hall,East,Elmwood,Recreation Centre,"Offers job search help with free parking and emergency services year-round. Known for family-friendly seating, arts workshops, and extended evening hours.",+1 555-4263,http://zava.example/assets/facilities/darron-d-neighbourhood-hall.jpg,"Mon-Fri 7:30-15:30, open weekends 10:00-14:00",http://zava.example/facilities/darron-d-neighbourhood-hall,486,No,43.621331,-79.423727
Jonathon Learning Annex,Downtown,Hillcrest,Community Hub,"Offers health screenings with free parking and youth programs year-round. Known for a staffed information desk, arts workshops, and easy transit access.",+1 555-6772,http://zava.example/assets/facilities/jonathon-learning-annex.jpg,"Tue-Sat 9:00-17:00, closed Sun-Mon",http://zava.example/facilities/jonathon-learning-annex,375,Yes,43.724178,-79.364447
Jonty Wellness Pavilion,Downtown,Rosemont,Access Point,"Offers fitness classes with arts workshops and youth programs year-round. Known for a multi-purpose gym, emergency services, and extended evening hours.",+1 555-6352,http://zava.example/assets/facilities/jonty-wellness-pavilion.jpg,"Mon-Fri 7:30-15:30, open weekends 10:00-14:00",http://zava.example/facilities/jonty-wellness-pavilion,139,Yes,43.626432,-79.392118
Jonathon Public Counter,Central,Birchwood,Library Branch,"Offers fitness classes with youth programs and arts workshops year-round. Known for a staffed information desk, open weekends, and on-site volunteers.",+1 555-6992,http://zava.example/assets/facilities/jonathon-public-counter.jpg,"Mon-Thu 8:30-16:30, Fri 8:30-15:00",http://zava.example/facilities/jonathon-public-counter,454,No,43.602784,-79.392686
Jonnathan Learning Annex,Downtown,Riverton,Access Point,"Offers food pantry referrals with arts workshops and youth programs year-round. Known for outdoor green space, emergency services, and free parking.",+1 555-8606,http://zava.example/assets/facilities/jonnathan-learning-annex.jpg,"Mon-Wed 9:00-19:00, Thu-Fri 9:00-17:00, Sat 9:00-13:00",http://zava.example/facilities/jonnathan-learning-annex,382,No,43.623335,-79.490931
Daryl Neighbourhood Hall,South,Canyon,Recreation Centre,"Offers fitness classes with emergency services and free parking year-round. Known for bike racks, arts workshops, and free parking.",+1 555-9017,http://zava.example/assets/facilities/daryl-neighbourhood-hall.jpg,"Mon-Fri 7:30-15:30, open weekends 10:00-14:00",http://zava.example/facilities/daryl-neighbourhood-hall,193,Yes,43.738056,-79.456546
Jonnathan Sports Complex,North,Parkview,Library Branch,"Offers after-school tutoring with youth programs and arts workshops year-round. Known for a multi-purpose gym, emergency services, and on-site volunteers.",+1 555-2501,http://zava.example/assets/facilities/jonnathan-sports-complex.jpg,"Tue-Sat 9:00-17:00, closed Sun-Mon",http://zava.example/facilities/jonnathan-sports-complex,378,Yes,43.610116,-79.433298
Darell Community Hub,East,Silverlake,Civic Office,"Offers drop-in support with emergency services and senior wellness year-round. Known for a maker space, free parking, and open weekends.",+1 555-9850,http://zava.example/assets/facilities/darell-community-hub.jpg,"Mon-Wed 9:00-19:00, Thu-Fri 9:00-17:00, Sat 9:00-13:00",http://zava.example/facilities/darell-community-hub,458,Yes,43.621985,-79.32671
Darell D. Resource Centre,East,Birchwood,Access Point,"Offers computer labs with open weekends and arts workshops year-round. Known for family-friendly seating, youth programs, and on-site volunteers.",+1 555-6931,http://zava.example/assets/facilities/darell-d-resource-centre.jpg,"Mon-Thu 8:30-16:30, Fri 8:30-15:00",http://zava.example/facilities/darell-d-resource-centre,281,Yes,43.789083,-79.491327
J. Nathan Wellness Pavilion,West,Bayview,Recreation Centre,"Offers recreation leagues with arts workshops and youth programs year-round. Known for a multi-purpose gym, open weekends, and free parking.",+1 555-6277,http://zava.example/assets/facilities/j-nathan-wellness-pavilion.jpg,"Mon-Fri 10:00-18:00, Sun 11:00-15:00",http://zava.example/facilities/j-nathan-wellness-pavilion,83,Yes,43.655003,-79.373385
Jona-than Library Branch #1,Central,Parkview,Senior Centre,"Offers childcare information with youth programs and open weekends year-round. Known for family-friendly seating, senior wellness, and open weekends.",+1 555-7779,http://zava.example/assets/facilities/jona-than-library-branch-1.jpg,Daily 9:00-17:00,http://zava.example/facilities/jona-than-library-branch-1,473,No,43.679746,-79.354077
Jonathan Wellness Pavilion #1,Downtown,Crestwood,Access Point,"Offers childcare information with youth programs and open weekends year-round. Known for accessible entrances, senior wellness, and open weekends.",+1 555-1982,http://zava.example/assets/facilities/jonathan-wellness-pavilion-1.jpg,Daily 9:00-17:00,http://zava.example/facilities/jonathan-wellness-pavilion-1,393,Yes,43.682162,-79.325279
Jonny Nathan Public Counter #1,South,Birchwood,Community Hub,"Offers after-school tutoring with free parking and open weekends year-round. Known for outdoor green space, senior wellness, and on-site volunteers.",+1 555-4674,http://zava.example/assets/facilities/jonny-nathan-public-counter-1.jpg,"Mon-Thu 8:30-16:30, Fri 8:30-15:00",http://zava.example/facilities/jonny-nathan-public-counter-1,229,No,43.622977,-79.444286
Darelle Sports Complex,South,Silverlake,Library Branch,"Offers drop-in support with free parking and emergency services year-round. Known for private consultation rooms, senior wellness, and extended evening hours.",+1 555-6567,http://zava.example/assets/facilities/darelle-sports-complex.jpg,Daily 9:00-17:00,http://zava.example/facilities/darelle-sports-complex,53,Yes,43.773973,-79.386736
The Jonatan Jonny Wellness Pavilion,South,Greenfield,Recreation Centre,"Offers public Wi‑Fi with arts workshops and emergency services year-round. Known for private consultation rooms, senior wellness, and extended evening hours.",+1 555-2391,http://zava.example/assets/facilities/the-jonatan-jonny-wellness-pavilion.jpg,"Mon-Fri 9:00-17:00, Sat 10:00-14:00",http://zava.example/facilities/the-jonatan-jonny-wellness-pavilion,129,Yes,43.750887,-79.490048
Darryl Wellness Pavilion,Central,Birchwood,Civic Office,"Offers computer labs with emergency services and arts workshops year-round. Known for outdoor green space, free parking, and easy transit access.",+1 555-8972,http://zava.example/assets/facilities/darryl-wellness-pavilion.jpg,"Mon-Wed 9:00-19:00, Thu-Fri 9:00-17:00, Sat 9:00-13:00",http://zava.example/facilities/darryl-wellness-pavilion,73,Yes,43.679053,-79.380135
Darrell Darelle Resource Center,North,Elmwood,Access Point,"Offers fitness classes with open weekends and arts workshops year-round. Known for bike racks, senior wellness, and easy transit access.",+1 555-4770,http://zava.example/assets/facilities/darrell-darelle-resource-center.jpg,Daily 9:00-17:00,http://zava.example/facilities/darrell-darelle-resource-center,86,No,43.772353,-79.49154
Darrell Access Point,South,Hillcrest,Library Branch,"Offers drop-in support with emergency services and youth programs year-round. Known for accessible entrances, arts workshops, and open weekends.",+1 555-8538,http://zava.example/assets/facilities/darrell-access-point.jpg,Daily 9:00-17:00,http://zava.example/facilities/darrell-access-point,95,No,43.768897,-79.451337
Johanathan Access Point,North,Greenfield,Community Hub,"Offers computer labs with youth programs and free parking year-round. Known for accessible entrances, emergency services, and extended evening hours.",+1 555-3419,http://zava.example/assets/facilities/johanathan-access-point.jpg,"Tue-Sat 9:00-17:00, closed Sun-Mon",http://zava.example/facilities/johanathan-access-point,102,Yes,43.651194,-79.4653
Darell Wellness Pavilion,Downtown,Crestwood,Recreation Centre,"Offers food pantry referrals with open weekends and free parking year-round. Known for a maker space, emergency services, and on-site volunteers.",+1 555-2118,http://zava.example/assets/facilities/darell-wellness-pavilion.jpg,"Mon-Fri 9:00-20:00, Sat-Sun 10:00-16:00",http://zava.example/facilities/darell-wellness-pavilion,276,No,43.759266,-79.381716
The Jonathon Recreation Centre,North,Birchwood,Access Point,"Offers quiet study zones with free parking and open weekends year-round. Known for a large auditorium, arts workshops, and easy transit access.",+1 555-1672,http://zava.example/assets/facilities/the-jonathon-recreation-centre.jpg,"Mon-Fri 9:00-20:00, Sat-Sun 10:00-16:00",http://zava.example/facilities/the-jonathon-recreation-centre,464,Yes,43.664305,-79.404874
Darell Neighbourhood Hall,North,Elmwood,Senior Centre,"Offers recreation leagues with youth programs and senior wellness year-round. Known for a small café, open weekends, and easy transit access.",+1 555-3600,http://zava.example/assets/facilities/darell-neighbourhood-hall.jpg,Daily 9:00-17:00,http://zava.example/facilities/darell-neighbourhood-hall,240,No,43.677483,-79.345107
Darron Resource Centre,North,Elmwood,Senior Centre,"Offers food pantry referrals with emergency services and open weekends year-round. Known for a multi-purpose gym, senior wellness, and easy transit access.",+1 555-3317,http://zava.example/assets/facilities/darron-resource-centre.jpg,Daily 9:00-17:00,http://zava.example/facilities/darron-resource-centre,208,No,43.62579,-79.358233
Darryl Library Branch #1,East,Rosemont,Library Branch,"Offers public Wi‑Fi with open weekends and arts workshops year-round. Known for accessible entrances, youth programs, and extended evening hours.",+1 555-3953,http://zava.example/assets/facilities/darryl-library-branch-1.jpg,"Tue-Sat 9:00-17:00, closed Sun-Mon",http://zava.example/facilities/darryl-library-branch-1,224,No,43.638401,-79.300005
Darell Darryl-Ann Resource Center,Downtown,Parkview,Access Point,"Offers fitness classes with free parking and senior wellness year-round. Known for a maker space, arts workshops, and open weekends.",+1 555-3712,http://zava.example/assets/facilities/darell-darryl-ann-resource-center.jpg,"Mon-Fri 9:00-20:00, Sat-Sun 10:00-16:00",http://zava.example/facilities/darell-darryl-ann-resource-center,72,No,43.67286,-79.356083
Jonnathan Resource Centre,South,Greenfield,Community Hub,"Offers recreation leagues with senior wellness and emergency services year-round. Known for private consultation rooms, arts workshops, and on-site volunteers.",+1 555-9239,http://zava.example/assets/facilities/jonnathan-resource-centre.jpg,"Mon-Fri 7:30-15:30, open weekends 10:00-14:00",http://zava.example/facilities/jonnathan-resource-centre,132,Yes,43.760252,-79.47232
Darryll Joe Sports Complex,Downtown,Parkview,Access Point,"Offers recreation leagues with youth programs and senior wellness year-round. Known for a small café, emergency services, and open weekends.",+1 555-8167,http://zava.example/assets/facilities/darryll-joe-sports-complex.jpg,"Mon-Thu 8:30-16:30, Fri 8:30-15:00",http://zava.example/facilities/darryll-joe-sports-complex,163,No,43.776926,-79.313906
